"","sender_cells","receiver_cells","ligand","receptor","prob"
"890","GSM1271963_E14_1_C56_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"891","GSM1271964_E14_1_C57_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"892","GSM1271971_E14_1_C70_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"893","GSM1271972_E14_1_C73_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"894","GSM1271974_E14_1_C75_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"895","GSM1271975_E14_1_C76_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"896","GSM1271978_E14_1_C79_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"897","GSM1271984_E14_1_C87_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"898","GSM1271987_E14_1_C94_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"899","GSM1271988_E14_1_C95_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"900","GSM1271989_E14_1_C96_IL3938","GSM1272061_E16_1_C94_IL4148","Mdk","Sdc4",0.360872599986761
"901","GSM1272036_E16_1_C01_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
"902","GSM1272037_E16_1_C04_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
"903","GSM1272039_E16_1_C06_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
"904","GSM1272042_E16_1_C24_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
"905","GSM1272044_E16_1_C40_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
"906","GSM1272049_E16_1_C65_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
"907","GSM1272050_E16_1_C66_IL4148","GSM1271946_E14_1_C02_IL3938","Mdk","Sdc4",0.260778515922138
